Method,Accuracy,ROC AUC
BERT,0.9845916795069337,0.9996576178985253
FastText,0.9919106317411402,0.9994807616080471
LDA,0.31856702619414484,0.6656758566881722
LDA_TFIDF,0.24114021571648692,0.6650940604582978
